Crop,3,18,30,3,8,350,750,L,L,M,12 days, 12 days, 34 days, 50 days, this is a comment
Bajra,3,18,30,3,8,350,750,L,L,M,10,20,25,75,The ideal temperature for Bajra cultivation is between 20 °C to 30 °C.
Banana,4,15,35,6.5,8.5,450,750,M,VL,VL,10,10,24,365,Extreme clayey  Sandy soil  Saline soil and Calcareous soil is not suitable for Banana cultivation.
Barley,4,12,32,3,8,800,1100,VL,VL,M,5,20,30,180,Barley grass grows to about 45cm in height
Bean,2,14,32,5.5,6.5,300,500,L,VL,M,28,55,90,140,Maturity is typically 55–60 days from planting toharvest
Black pepper,6,23,33,5.5,6.5,1200,2500,H,VL,M,70,71,81,270,It grows successfully between 20° North and South latitude and from sea level up to 1500 m above sea level.
Blackgram,2,23,35,5,7,500,700,L,H,VL,7,10,25,70,Black gram is an erect  fast-growing annual  herbaceous legume reaching 30-100 cm in height
Bottle Gourd,2,24,27,6.5,7.5,400,650,VL,VL,VL,10,4,10,120,The crop can tolerate low temperatures but extreme cool temperatures will retard growth and frost will kill
Brinjal,3,15,32,5.5,6.5,600,1000,VL,L,M,15,12,40,75, The plants usually grow 45 to 60 cm high and bears long to oval shaped  purple or greenish fruits. 
Cabbage,4,12,30,5.5,6.5,300,600,M,VL,H,10,12,*,100,A pH range of 6.0-6.5 is considered as optimum for growing cabbage. Plants growing in saline soils are prone diseases. 
Cardamom,8,18,35,4.5,7,1200,4000,H,M,M,35,12,22,750,15-20 tonnes of FYM is incorporated about 4 weeks before transplanting
Carrot,4,7,23,5.5,7,750,1000,M,H,M,10,5,*,75,Carrot need to be thinned early and kept weed free
Castor seed,6,20,30,5,8.5,500,800,VL,H,VL,*,15,40,155,Scheduling of irrigation at 50mm CPE result in higher yield
Cauliflower,4,12,30,6,7,100,300,M,M,M,35,40,45,110,It can grow upto 8 to 30 inches
Chillies,3,18,40,5.5,7,625,1500,VL,VL,L,6,11,36,80,Black soil is comfortable because it contains moisture for longer period
Coriander,3,15,30,6,10,750,1000,L,L,M,15,45,55,60,Standard irrigation is done more than 6-7 times
Cotton,4,15,35,6,8,500,1100,M,VL,VL,25,40,81,180,cotton uses 25% of the worlds pesticides.
Cowpea,5,22,35,5,7,700,1100,VL,VL,VL,15,25,45,100,Each plant received a total of 72L of irrigation water
Drum Stick,4,20,30,6,7,750,2000,M,L,H,10,20,100,210,Cost of cultivation and maintainenance is lesser than other commercial crops
Garlic,4,10,30,6,7,500,800,VL,M,H,25,55,*,*,More than 50% of production is done in gujrat and Madhya Pardesh(weed free)
Ginger,8,15,35,5,7,1200,1800,VL,M,VL,20,20,45,300,ginger requires 1300-1500 mm of water during its crop cycle
Gram,4,20,30,5,7,600,900,VL,VL,H,10,55,25,145,It occupies 38% of area under pulses
Grapes,4,15,35,6.5,8.5,650,850,VL,H,L,10,17,*,1000,Grapes in India are mostly grown in semi-arid dry areas with inadequate rainfall and high transpiration losses. 
Groundnut,3,20,35,5,7,500,750,VL,VL,VL,10,20,38,140,Irrigation repeat every 20 days upto 120 days
Guar seed,3,25,35,7,8,100,300,L,L,L,7,8,*,70, Guar seeds have been produced with 2650 m3/ha average water supply
Horse-gram,6,20,30,4.5,8.2,500,1000,M,M,VL,6,9,25,55,*
Jowar,3,18,32,6,7.5,400,1000,VL,M,M,15,25,30,75,Jowar​ Sorghum popularly known as jowar is the most important food and fodder crop of dry land agriculture. 
Jute,4,24,38,6,7.5,200,600,H,L,L,30,34,31,100,Irrigation occur every 15 days
Khesari,4,10,25,6,8,400,700,VL,M,M,20,60,35,150,Rai's harvest in March yielded around 100 quintal of khesari in 2019
