Crop, Rainfall, Temperature, pH 
Bajra,154.8,30.58,6
Banana,188.1,28.94,6
Cabbage,188.1,28.94,6
Castor seed,209.4,25.04,6
Cauliflower,188.1,28.94,6
Cotton,188.1,28.94,6
Garlic,188.1,28.94,6
Guar seed,154.8,30.58,6
Horse-gram,209.4,25.04,6
Jowar,154.8,30.58,6
Jute,188.1,28.94,6
Khesari,188.1,28.94,6
Linseed,200.4,26.96,6
Maize,209.4,25.04,6
Onion,188.1,28.94,6
Orange,188.1,28.94,6
Peas & beans (Pulses),154.8,30.58,6
Potato,154.8,30.58,6
Sannhamp,200.4,26.96,6
Sesamum,188.1,28.94,6
Soyabean,188.1,28.94,6
Sugarcane,332.4,24.33,6
Sunflower,188.1,28.94,6
Tomato,188.1,28.94,6
